trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,10,16.538276845934018,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",25,2,-23.170949525532645,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,12,2.461919770955375,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,14,10.29164224432179,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,4,4.609659120778329,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,15,5.464656350890349,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",25,0,26.194593262575445,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",30,22,-9.22190714364819,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",30,0,12.187432124779974,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",30,13,-19.817518108140998,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.3362164937067333}",25,1,0.7168038470890767,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,0,14.283110283934061,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,15,-10.98368405153725,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",20,0,10.414249987123814,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,0,-3.623986006028188,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",30,18,2.466547007985551,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",20,0,-32.97941037133403,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",25,17,4.549275887521427,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,13,2.348373933110323,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",25,9,19.632229208866868,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",25,12,-28.913918451073183,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,3,-42.38505397572316,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,0,25.831238307265345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",25,0,-14.867279970860498,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,0,-1.3543207488583608,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,9,-37.551911664431294,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",30,2,-35.82040168738652,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",30,0,11.8627264447525,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",20,6,22.747918118995663,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",20,0,-35.4596574328637,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,13,-17.744732343468428,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",20,10,-45.724148206969915,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",25,18,-7.829770012009397,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,0,2.6580876230386563,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,0,-51.459231190043965,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
134,False,"{'a': 0.01, 'e': 0.261845668580326}",25,12,-34.05506789203374,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",30,16,-2.242486841847694,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",25,0,-18.26909466697203,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,8,-28.384387563945268,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",30,3,46.18566066487946,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,7,14.489446086089185,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,14,-2.019098866746168,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",20,13,0.4848112424896607,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,8,9.028893919871127,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",20,6,-15.421960676011375,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",25,11,-39.56606592878346,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",20,0,-40.28820656991975,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",20,0,-89.01252138608812,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",30,13,14.733691321045079,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,16,-27.17479606362498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,0,17.24044541787257,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",30,22,14.287178617140436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",25,0,-14.327436014952896,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,1,26.22600291481117,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",30,17,15.14969854063099,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",25,13,2.1970255213514918,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",30,4,-6.740794992434566,"{0: 24, 1: 0, 2: 0, 3: 2, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",25,5,26.816531970888196,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",25,11,0.06318273224205218,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,0,-97.47306762003613,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",30,0,-21.209963366678263,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,14,11.754281276738784,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,14,-2.081941658175347,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,0,17.6253928940396,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",30,16,24.32229060442968,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,0,-28.588767659947774,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,0,16.72599502193824,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,16,4.854416757228849,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,15,7.451918230758016,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,6,12.75196517973773,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",25,11,19.226509650777857,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,9,10.290723919624329,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
